劳动教养	lao dong jiao yang 
转交	zhuan jiao 
被告人	bei gao ren 
单位	dan wei 
民法通则	min fa tong ze 
规定	gui ding 
条例	tiao li 
适用	shi yong 
民事法律	min shi fa lv 
标的	biao di 
行为	xing wei 
成立	cheng li 
表述	biao shu 
下列	xia lie 
婚龄	hun ling 
法定	fa ding 
婚姻	hun yin 
登记	deng ji 
形成	xing cheng 
规章	gui zhang 
航行	hang xing 
协调	xie tiao 
河流	he liu 
保障	bao zhang 
设立	she li 
制定	zhi ding 
委员会	wei yuan hui 
国际	guo ji 
讯问	xun wen 
检察院	jian cha yuan 
嫌疑人	xian yi ren 
情形	qing xing 
应当	ying dang 
阶段	jie duan 
仓库	cang ku 
货物	huo wu 
承运人	cheng yun ren 
装货	zhuang huo 
卸货	xie huo 
进入	jin ru 
责任	ze ren 
予以	yu yi 
该证据	gai zheng ju 
闺汀	gui ting 
使领馆	shi ling guan 
公证机关	gong zheng ji guan 
认证	ren zheng 
当事人	dang shi ren 
手续	shou xu 
证据	zheng ju 
履行	lv xing 
听证	ting zheng 
行政处罚	xing zheng chu fa 
程序	cheng xu 
内容	nei rong 
包括	bao kuo 
刊登	kan deng 
报纸	bao zhi 
范围	fan wei 
公布	gong bu 
发行	fa xing 
全国	quan guo 
灭失	mie shi 
保全	bao quan 
申请	shen qing 
取得	qu de 
情况	qing kuang 
可能	ke neng 
宪法	xian fa 
特色	te se 
错误	cuo wu 
说法	shuo fa 
社会主义	she hui zhu yi 
完善	wan shan 
体系	ti xi 
法律	fa lv 
加强	jia qiang 
决定权	jue ding quan 
选项	xuan xiang 
享有	xiang you 
属于	shu yu 
要求	yao qiu 
体制	ti zhi 
做法	zuo fa 
改进	gai jin 
符合	fu he 
全面	quan mian 
关系人	guan xi ren 
利害	li hai 
宣告	xuan gao 
撤销	che xiao 
法院	fa yuan 
死亡	si wang 
制度	zhi du 
国体	guo ti 
政体	zheng ti 
领土	ling tu 
选举	xuan ju 
形式	xing shi 
结构	jie gou 
地方	di fang 
行政许可	xing zheng xu ke 
准予	zhun yu 
查阅	cha yue 
有权	you quan 
公众	gong zhong 
机关	ji guan 
行政	xing zheng 
机构编制	ji gou bian zhi 
直辖市	zhi xia shi 
自治区	zi zhi qu 
回避	hui bi 
合议庭	he yi ting 
书记员	shu ji yuan 
一审	yi shen 
秩序	zhi xu 
问题	wen ti 
是否	shi fou 
存在	cun zai 
暂予	zan yu 
未满	wei man 
消失	xiao shi 
公共事务	gong gong shi wu 
组织	zu zhi 
依法	yi fa 
事业	shi ye 
开庭	kai ting 
约定	yue ding 
进行	jin xing 
伪造	wei zao 
票据	piao ju 
使用	shi yong 
明确化	ming que hua 
准据法	zhun ju fa 
识别	shi bie 
规范	gui fan 
解释	jie shi 
确定	que ding 
过程	guo cheng 
作为	zuo wei 
位阶	wei jie 
渊源	yuan yuan 
效力	xiao li 
现行	xian xing 
有机	you ji 
划分	hua fen 
原则	yuan ze 
阅卷	yue juan 
辩护律师	bian hu lv shi 
行使	xing shi 
案件	an jian 
陪审员	pei shen yuan 
审理案件	shen li an jian 
参加	can jia 
罢免	ba mian 
开庭审判	kai ting shen pan 
刑事案件	xing shi an jian 
基层	ji ceng 
指导	zhi dao 
处理	chu li 
需要	xu yao 
不能	bu neng 
受理	shou li 
不予	bu yu 
书面	shu mian 
告知	gao zhi 
视为	shi wei 
机构	ji gou 
伤害案	shang hai an 
简易程序	jian yi cheng xu 
犯罪事实	fan zui shi shi 
不负	bu fu 
法规	fa gui 
抵触	di chu 
地方性	di fang xing 
第二审	di er shen 
辩护人	bian hu ren 
量刑	liang xing 
上诉	shang su 
执行	zhi xing 
提出	ti chu 
债务	zhai wu 
文件	wen jian 
对方	dui fang 
证明	zheng ming 
能力	neng li 
提供	ti gong 
扶养	fu yang 
涉外	she wai 
司法	si fa 
实践	shi jian 
关系	guan xi 
国家	guo jia 
主张	zhu zhang 
不得	bu de 
思维	si wei 
普通法	pu tong fa 
民法	min fa 
归纳	gui na 
演绎	yan yi 
法治	fa zhi 
根本保证	gen ben bao zheng 
党的领导	dang de ling dao 
理念	li nian 
合同法	he tong fa 
经济	jing ji 
发回重审	fa hui chong shen 
原审	yuan shen 
另行	ling xing 
死刑	si xing 
裁定	cai ding 
核准	he zhun 
继续执行	ji xu zhi xing 
签发	qian fa 
确认	que ren 
院长	yuan zhang 
命令	ming ling 
辨认	bian ren 
案卷	an juan 
笔录	bi lu 
录像	lu xiang 
照片	zhao pian 
获悉	huo xi 
对象	dui xiang 
资料	zi liao 
无法	wu fa 
没有	mei you 
欠税款	qian shui kuan 
保险金	bao xian jin 
给付	gei fu 
人寿保险	ren shou bao xian 
赔偿	pei chang 
破产	po chan 
公司	gong si 
秘书长	mi shu zhang 
人员	ren yuan 
组成	zu cheng 
违反	wei fan 
决定	jue ding 
资产阶级	zi chan jie ji 
民法典	min fa dian 
法人	fa ren 
贯彻	guan che 
保留	bao liu 
有所	you suo 
实施	shi shi 
大量	da liang 
小时	xiao shi 
作出	zuo chu 
接受	jie shou 
禁止	jin zhi 
手段	shou duan 
作战	zuo zhan 
方法	fang fa 
催告	cui gao 
强制执行	qiang zhi zhi xing 
限期	xian qi 
拆除	chai chu 
公海	gong hai 
国籍	guo ji 
碰撞	peng zhuang 
船舶	chuan bo 
发生	fa sheng 
除权	chu quan 
判决	pan jue 
公诉	gong su 
退回	tui hui 
遇到	yu dao 
管辖权	guan xia quan 
异议	yi yi 
公共利益	gong gong li yi 
反倾销税	fan qing xiao shui 
征收	zheng shou 
子女	zi nv 
父母	fu mu 
赡养	shan yang 
抚养	fu yang 
夫妻	fu qi 
辩护	bian hu 
意见	yi jian 
法律制裁	fa lv zhi cai 
追求	zhui qiu 
破坏	po huai 
表明	biao ming 
价值	jia zhi 
骗取	pian qu 
退税	tui shui 
发票	fa piao 
盗窃	dao qie 
用于	yong yu 
行政复议	xing zheng fu yi 
性质	xing zhi 
熟悉	shu xi 
业务	ye wu 
农村土地	nong cun tu di 
承包方	cheng bao fang 
承包经营	cheng bao jing ying 
经营权	jing ying quan 
承包	cheng bao 
权证	quan zheng 
转让	zhuan rang 
才能	cai neng 
和解	he jie 
达成	da cheng 
协议	xie yi 
意味着	yi wei zhe 
两者	liang zhe 
住所地	zhu suo di 
送达	song da 
文书	wen shu 
涉台	she tai 
司法解释	si fa jie shi 
民事案件	min shi an jian 
代为	dai wei 
委托	wei tuo 
公共卫生	gong gong wei sheng 
保卫	bao wei 
村民	cun min 
法定代理	fa ding dai li 
法庭	fa ting 
询问	xun wen 
补充	bu chong 
不服	bu fu 
适用者	shi yong zhe 
逻辑推理	luo ji tui li 
判断	pan duan 
余额	yu e 
净资产	jing zi chan 
累计	lei ji 
债券	zhai quan 
超过	chao guo 
执业	zhi ye 
律师资格	lv shi zi ge 
律师	lv shi 
拘役	ju yi 
判处	pan chu 
军人	jun ren 
同类产品	tong lei chan pin 
损害	sun hai 
工人	gong ren 
产品	chan pin 
规范性	gui fan xing 
规则	gui ze 
基本权利	ji ben quan li 
政治权利	zheng zhi quan li 
公民	gong min 
权利	quan li 
深入	shen ru 
文化	wen hua 
社会	she hui 
报告	bao gao 
负责人	fu ze ren 
部门	bu men 
专项	zhuan xiang 
安全装置	an quan zhuang zhi 
机动车辆	ji dong che liang 
明知	ming zhi 
驾驶	jia shi 
单据	dan ju 
卖方	mai fang 
交付	jiao fu 
义务	yi wu 
描述	miao shu 
特点	te dian 
数罪并罚	shu zui bing fa 
牵连	qian lian 
实质	shi zhi 
实行	shi xing 
权利义务	quan li yi wu 
参加者	can jia zhe 
保护	bao hu 
国际法	guo ji fa 
战争	zhan zheng 
裁决	cai jue 
起诉	qi su 
计算机程序	ji suan ji cheng xu 
文学作品	wen xue zuo pin 
建账	jian zhang 
财会人员	cai kuai ren yuan 
确无	que wu 
账务	zhang wu 
税务机关	shui wu ji guan 
经营规模	jing ying gui mo 
聘请	pin qing 
纳税人	na shui ren 
认可	ren ke 
司法制度	si fa zhi du 
出发点	chu fa dian 
执法	zhi fa 
说明	shuo ming 
休息权	xiu xi quan 
全体	quan ti 
留置权	liu zhi quan 
抵押权	di ya quan 
优先权	you xian quan 
抗诉	kang su 
审结	shen jie 
破产法	po chan fa 
债权	zhai quan 
企业	qi ye 
货币	huo bi 
兑换	dui huan 
推定	tui ding 
过错	guo cuo 
请问	qing wen 
事务所	shi wu suo 
合伙	he huo 
职业	zhi ye 
具有	ju you 
居民	ju min 
个别	ge bie 
主席	zhu xi 
产生	chan sheng 
赔偿义务	pei chang yi wu 
补正	bu zheng 
申请材料	shen qing cai liao 
请求	qing qiu 
材料	cai liao 
处罚金	chu fa jin 
没收	mo shou 
财产	cai chan 
发射	fa she 
目的	mu di 
公务	gong wu 
政府部门	zheng fu bu men 
私人	si ren 
实体	shi ti 
承担	cheng dan 
应对	ying dui 
商业	shang ye 
确立	que li 
风格	feng ge 
办案	ban an 
代理人	dai li ren 
救济	jiu ji 
阻碍	zu ai 
工作人员	gong zuo ren yuan 
认为	ren wei 
损害赔偿	sun hai pei chang 
所在地	suo zai di 
人权	ren quan 
干涉	gan she 
专业知识	zhuan ye zhi shi 
技能	ji neng 
专业	zhuan ye 
客户	ke hu 
专门	zhuan men 
止付	zhi fu 
挂失	gua shi 
公示	gong shi 
提起	ti qi 
多变	duo bian 
现实生活	xian shi sheng huo 
授权	shou quan 
措施	cuo shi 
人民	ren min 
采购	cai gou 
促进	cu jin 
政府	zheng fu 
执行权	zhi xing quan 
决策权	jue ce quan 
说明书	shuo ming shu 
招股	zhao gu 
股东大会	gu dong da hui 
用途	yong tu 
变更	bian geng 
批准	pi zhun 
资金	zi jin 
侵权行为	qin quan xing wei 
改变	gai bian 
利用	li yong 
民事责任	min shi ze ren 
签章	qian zhang 
便民	bian min 
收效	shou xiao 
申诉	shen su 
预约	yu yue 
立案	li an 
查询	cha xun 
被申请人	bei shen qing ren 
条件	tiao jian 
主体	zhu ti 
不会	bu hui 
法律案	fa lv an 
计算	ji suan 
自主性	zi zhu xing 
本质	ben zhi 
采取	cai qu 
协助	xie zhu 
职能	zhi neng 
被告	bei gao 
允许	yun xu 
依法行政	yi fa xing zheng 
政务	zheng wu 
刑罚	xing fa 
预交	yu jiao 
诉讼费用	su song fei yong 
侦查	zhen cha 
会见	hui jian 
包销	bao xiao 
全额	quan e 
分为	fen wei 
注册商标	zhu ce shang biao 
假冒	jia mao 
处罚	chu fa 
商品	shang pin 
国际私法	guo ji si fa 
公约	gong yue 
拘传	ju chuan 
时间	shi jian 
公法	gong fa 
私法	si fa 
社会化	she hui hua 
倾向	qing xiang 
意义	yi yi 
出现	chu xian 
租赁	zu lin 
双方	shuang fang 
协商	xie shang 
争议	zheng yi 
使用权	shi yong quan 
所有权	suo you quan 
不成	bu cheng 
解决	jie jue 
土地	tu di 
部曲	bu qu 
天宅	tian zhai 
改嫁	gai jia 
奴婢	nu bi 
费用	fei yong 
转移	zhuan yi 
维护	wei hu 
传统	chuan tong 
利益	li yi 
有着	you zhe 
联系	lian xi 
诉讼法	su song fa 
民事	min shi 
公证员	gong zheng yuan 
受到	shou dao 
例外	li wai 
土地管理法	tu di guan li fa 
集体土地	ji ti tu di 
从事	cong shi 
依法办案	yi fa ban an 
实事求是	shi shi qiu shi 
