神州高铁	shen zhou gao tie 
神州数码	shen zhou shu ma 
方大集团	fang da ji tuan 
南玻A	nan bo A 
深科技	shen ke ji 
北方国际	bei fang guo ji 
特发信息	te fa xin xi 
中金岭南	zhong jin ling nan 
中国宝安	zhong guo bao an 
*ST宜康	*ST yi kang 
中信海直	zhong xin hai zhi 
常山北明	chang shan bei ming 
深康佳A	shen kang jia A 
深桑达A	shen sang da A 
泛海控股	fan hai kong gu 
万科A	wan ke A 
深纺织A	shen fang zhi A 
盐田港	yan tian gang 
深圳能源	shen zhen neng yuan 
深赛格	shen sai ge 
中洲控股	zhong zhou kong gu 
华数传媒	hua shu chuan mei 
深振业A	shen zhen ye A 
国际实业	guo ji shi ye 
ST星源	ST xing yuan 
申万宏源	shen wan hong yuan 
深粮控股	shen liang kong gu 
中集集团	zhong ji ji tuan 
德赛电池	de sai dian chi 
深物业A	shen wu ye A 
华控赛格	hua kong sai ge 
深圳华强	shen zhen hua qiang 
天健集团	tian jian ji tuan 
富奥股份	fu ao gu fen 
吉林化纤	ji lin hua xian 
华天酒店	hua tian jiu dian 
山东路桥	shan dong lu qiao 
金融街	jin rong jie 
美的集团	mei de ji tuan 
东旭光电	dong xu guang dian 
许继电气	xu ji dian qi 
徐工机械	xu gong ji xie 
珠海港	zhu hai gang 
*ST沈机	*ST shen ji 
新金路	xin jin lu 
张家界	zhang jia jie 
兴蓉环境	xing rong huan jing 
长虹华意	chang hong hua yi 
四环生物	si huan sheng wu 
民生控股	min sheng kong gu 
万泽股份	wan ze gu fen 
丽珠集团	li zhu ji tuan 
中兵红箭	zhong bing hong jian 
云南白药	yun nan bai yao 
佛山照明	fo shan zhao ming 
顺钠股份	shun na gu fen 
航天发展	hang tian fa zhan 
金圆股份	jin yuan gu fen 
京粮控股	jing liang kong gu 
皖能电力	wan neng dian li 
泸州老窖	lu zhou lao jiao 
绿景退	lv jing tui 
柳工	liu gong 
海德股份	hai de gu fen 
创元科技	chuang yuan ke ji 
湖南投资	hu nan tou zi 
国际医学	guo ji yi xue 
苏常柴A	su chang chai A 
穗恒运A	sui heng yun A 
新华联	xin hua lian 
长航凤凰	zhang hang feng huang 
海马汽车	hai ma qi che 
*ST东海A	*ST dong hai A 
ST红太阳	ST hong tai yang 
安道麦A	an dao mai A 
广州浪奇	guang zhou lang qi 
*ST顺利	*ST shun li 
渝三峡A	yu san xia A 
远大控股	yuan da kong gu 
西部创业	xi bu chuang ye 
长安汽车	chang an qi che 
ST大洲	ST da zhou 
粤宏远A	yue hong yuan A 
太阳能	tai yang neng 
汇源通信	hui yuan tong xin 
甘化科工	gan hua ke gong 
古井贡酒	gu jing gong jiu 
江铃汽车	jiang ling qi che 
威孚高科	wei fu gao ke 
恒立实业	heng li shi ye 
天茂集团	tian mao ji tuan 
中油资本	zhong you zi ben 
ST海投	ST hai tou 
吉林敖东	ji lin ao dong 
荣丰控股	rong feng kong gu 
仁和药业	ren huo yao ye 
高新发展	gao xin fa zhan 
攀钢钒钛	pan gang fan tai 
铜陵有色	tong ling you se 
茂化实华	mao hua shi hua 
格力电器	ge li dian qi 
三木集团	san mu ji tuan 
长春高新	chang chun gao xin 
合金投资	he jin tou zi 
金科股份	jin ke gu fen 
滨海能源	bin hai neng yuan 
阳光城	yang guang cheng 
智度股份	zhi du gu fen 
西王食品	xi wang shi pin 
ST金鸿	ST jin hong 
浙江震元	zhe jiang zhen yuan 
贝瑞基因	bei rui ji yin 
襄阳轴承	xiang yang zhou cheng 
远兴能源	yuan xing neng yuan 
美锦能源	mei jin neng yuan 
视觉中国	shi jue zhong guo 
振华科技	zhen hua ke ji 
美好置业	mei hao zhi ye 
东方电子	dong fang dian zi 
锦龙股份	jin long gu fen 
模塑科技	mo su ke ji 
漳州发展	zhang zhou fa zhan 
国海证券	guo hai zheng quan 
财信发展	cai xin fa zhan 
山推股份	shan tui gu fen 
厦门信达	xia men xin da 
中广核技	zhong guang he ji 
三湘印象	san xiang yin xiang 
冠捷科技	guan jie ke ji 
*ST盈方	*ST ying fang 
中色股份	zhong se gu fen 
中百集团	zhong bai ji tuan 
长江证券	chang jiang zheng quan 
燕京啤酒	yan jing pi jiu 
北方铜业	bei fang tong ye 
京东方A	jing dong fang A 
甘咨询	gan zi xun 
中航西飞	zhong hang xi fei 
炼石航空	lian shi hang kong 
美达股份	mei da gu fen 
河化股份	he hua gu fen 
正虹科技	zheng hong ke ji 
山东海化	shan dong hai hua 
盐湖股份	yan hu gu fen 
河钢股份	he gang gu fen 
中国武夷	zhong guo wu yi 
苏宁环球	su ning huan qiu 
冀东装备	ji dong zhuang bei 
居然之家	ju ran zhi jia 
鲁西化工	lu xi hua gong 
海印股份	hai yin gu fen 
*ST节能	*ST jie neng 
潍柴重机	wei chai zhong ji 
本钢板材	ben gang ban cai 
山西路桥	shan xi lu qiao 
峨眉山A	e mei shan A 
顺鑫农业	shun xin nong ye 
北大医药	bei da yi yao 
*ST西发	*ST xi fa 
中关村	zhong guan cun 
城发环境	cheng fa huan jing 
华神科技	hua shen ke ji 
湖北能源	hu bei neng yuan 
普洛药业	pu luo yao ye 
陕西金叶	shan xi jin ye 
福星股份	fu xing gu fen 
中南建设	zhong nan jian she 
海南高速	hai nan gao su 
南宁糖业	nan ning tang ye 
中水渔业	zhong shui yu ye 
锌业股份	xin ye gu fen 
中核科技	zhong he ke ji 
四川九洲	si chuan jiu zhou 
神火股份	shen huo gu fen 
ST新城	ST xin cheng 
承德露露	cheng de lu lu 
一汽解放	yi qi jie fang 
浩物股份	hao wu gu fen 
岳阳兴长	yue yang xing zhang 
中通客车	zhong tong ke che 
冀中能源	ji zhong neng yuan 
英洛华	ying luo hua 
首钢股份	shou gang gu fen 
双汇发展	shuang hui fa zhan 
吉电股份	ji dian gu fen 
华东医药	hua dong yi yao 
新洋丰	xin yang feng 
航天科技	hang tian ke ji 
华菱钢铁	hua ling gang tie 
数源科技	shu yuan ke ji 
四川双马	si chuan shuang ma 
华西股份	hua xi gu fen 
云南铜业	yun nan tong ye 
华联股份	hua lian gu fen 
ST中嘉	ST zhong jia 
中科三环	zhong ke san huan 
诚志股份	cheng zhi gu fen 
闽东电力	min dong dian li 
海特高新	hai te gao xin 
山西焦煤	shan xi jiao mei 
浪潮信息	lang chao xin xi 
永新股份	yong xin gu fen 
天奇股份	tian qi gu fen 
威海广泰	wei hai guang tai 
东信和平	dong xin he ping 
*ST银亿	*ST yin yi 
ST中捷	ST zhong jie 
*ST凯瑞	*ST kai rui 
华铁股份	hua tie gu fen 
大庆华科	da qing hua ke 
浙江交科	zhe jiang jiao ke 
瑞泰科技	rui tai ke ji 
中泰化学	zhong tai hua xue 
隆平高科	long ping gao ke 
宗申动力	zong shen dong li 
海翔药业	hai xiang yao ye 
伟星股份	wei xing gu fen 
鲁阳节能	lu yang jie neng 
中银绒业	zhong yin rong ye 
莱宝高科	lai bao gao ke 
凯恩股份	kai en gu fen 
*ST科华	*ST ke hua 
中环股份	zhong huan gu fen 
紫鑫药业	zi xin yao ye 
协鑫能科	xie xin neng ke 
*ST雪莱	*ST xue lai 
东华能源	dong hua neng yuan 
新和成	xin he cheng 
东南网架	dong nan wang jia 
万丰奥威	wan feng ao wei 
世荣兆业	shi rong zhao ye 
顺络电子	shun luo dian zi 
天康生物	tian kang sheng wu 
远光软件	yuan guang ruan jian 
三力士	san li shi 
青岛金王	qing dao jin wang 
三维通信	san wei tong xin 
恒宝股份	heng bao gu fen 
东方锆业	dong fang gao ye 
华峰化学	hua feng hua xue 
东港股份	dong gang gu fen 
报喜鸟	bao xi niao 
宁波银行	ning bo yin hang 
万邦德	wan bang de 
金智科技	jin zhi ke ji 
沧州明珠	cang zhou ming zhu 
ST獐子岛	ST zhang zi dao 
蔚蓝锂芯	wei lan li xin 
融捷股份	rong jie gu fen 
利欧股份	li ou gu fen 
太阳纸业	tai yang zhi ye 
浔兴股份	xun xing gu fen 
广宇集团	guang yu ji tuan 
兆新股份	zhao xin gu fen 
*ST御银	*ST yu yin 
水晶光电	shui jing guang dian 
兴化股份	xing hua gu fen 
博云新材	bo yun xin cai 
红宝丽	hong bao li 
全聚德	quan ju de 
福晶科技	fu jing ke ji 
三变科技	san bian ke ji 
ST云投	ST yun tou 
海利得	hai li de 
三特索道	san te suo dao 
天邦股份	tian bang gu fen 
中电兴发	zhong dian xing fa 
ST冠福	ST guan fu 
康强电子	kang qiang dian zi 
中核钛白	zhong he tai bai 
荣盛发展	rong sheng fa zhan 
贤丰控股	xian feng kong gu 
南岭民爆	nan ling min bao 
大立科技	da li ke ji 
恒邦股份	heng bang gu fen 
远望谷	yuan wang gu 
西部材料	xi bu cai liao 
富安娜	fu an na 
歌尔股份	ge er gu fen 
拓邦股份	tuo bang gu fen 
创新医疗	chuang xin yi liao 
同德化工	tong de hua gong 
神剑股份	shen jian gu fen 
新华都	xin hua dou 
中航光电	zhong hang guang dian 
恩华药业	en hua yao ye 
成飞集成	cheng fei ji cheng 
智光电气	zhi guang dian qi 
北斗星通	bei dou xing tong 
大连重工	da lian zhong gong 
飞马国际	fei ma guo ji 
嘉应制药	jia ying zhi yao 
通富微电	tong fu wei dian 
*ST海核	*ST hai he 
北纬科技	bei wei ke ji 
东方网络	dong fang wang luo 
汉钟精机	han zhong jing ji 
大为股份	da wei gu fen 
ST中利	ST zhong li 
辉煌科技	hui huang ke ji 
顺丰控股	shun feng kong gu 
方正电机	fang zheng dian ji 
合肥城建	he fei cheng jian 
金风科技	jin feng ke ji 
海南发展	hai nan fa zhan 
武汉凡谷	wu han fan gu 
楚江新材	chu jiang xin cai 
科华数据	ke hua shu ju 
合兴包装	he xing bao zhuang 
聚力文化	ju li wen hua 
鸿博股份	hong bo gu fen 
ST宏达	ST hong da 
威创股份	wei chuang gu fen 
华东数控	hua dong shu kong 
民和股份	min he gu fen 
云海金属	yun hai jin shu 
合力泰	he li tai 
海得控制	hai de kong zhi 
步步高	bu bu gao 
濮耐股份	pu nai gu fen 
大华股份	da hua gu fen 
安妮股份	an ni gu fen 
*ST巴士	*ST ba shi 
宇顺电子	yu shun dian zi 
禾盛新材	he sheng xin cai 
奥飞娱乐	ao fei yu le 
南山控股	nan shan kong gu 
塔牌集团	ta pai ji tuan 
得利斯	de li si 
奥特佳	ao te jia 
众生药业	zhong sheng yao ye 
桂林三金	gui lin san jin 
海大集团	hai da ji tuan 
上海莱士	shang hai lai shi 
新纶新材	xin lun xin cai 
大东南	da dong nan 
友阿股份	you a gu fen 
海峡股份	hai xia gu fen 
永太科技	yong tai ke ji 
久立特材	jiu li te cai 
伟星新材	wei xing xin cai 
皖通科技	wan tong ke ji 
超华科技	chao hua ke ji 
巨力索具	ju li suo ju 
柘中股份	zhe zhong gu fen 
海宁皮城	hai ning pi cheng 
博深股份	bo shen gu fen 
仙琚制药	xian ju zhi yao 
圣农发展	sheng nong fa zhan 
高乐股份	gao le gu fen 
格林美	ge lin mei 
精华制药	jing hua zhi yao 
ST森源	ST sen yuan 
永安药业	yong an yao ye 
太极股份	tai ji gu fen 
新北洋	xin bei yang 
章源钨业	zhang yuan wu ye 
兴民智通	xing min zhi tong 
北方华创	bei fang hua chuang 
泰尔股份	tai er gu fen 
汉王科技	han wang ke ji 
康力电梯	kang li dian ti 
卓翼科技	zhuo yi ke ji 
科远智慧	ke yuan zhi hui 
合众思壮	he zhong si zhuang 
星网锐捷	xing wang rui jie 
长青股份	chang qing gu fen 
双象股份	shuang xiang gu fen 
海普瑞	hai pu rui 
中远海科	zhong yuan hai ke 
垒知集团	lei zhi ji tuan 
嘉欣丝绸	jia xin si chou 
雅克科技	ya ke ke ji 
联发股份	lian fa gu fen 
力生制药	li sheng zhi yao 
维信诺	wei xin nuo 
延安必康	yan an bi kang 
和而泰	he er tai 
多氟多	duo fu duo 
高德红外	gao de hong wai 
爱施德	ai shi de 
启明星辰	qi ming xing chen 
汉森制药	han sen zhi yao 
爱仕达	ai shi da 
摩恩电气	mo en dian qi 
雷科防务	lei ke fang wu 
远东传动	yuan dong chuan dong 
巨星科技	ju xing ke ji 
科伦药业	ke lun yao ye 
长江健康	chang jiang jian kang 
万里扬	wan li yang 
海康威视	hai kang wei shi 
棕榈股份	zong lv gu fen 
杭氧股份	hang yang gu fen 
齐翔腾达	qi xiang teng da 
*ST尤夫	*ST you fu 
毅昌科技	yi chang ke ji 
沪电股份	hu dian gu fen 
江苏神通	jiang su shen tong 
金洲管道	jin zhou guan dao 
国星光电	guo xing guang dian 
兴森科技	xing sen ke ji 
晨鑫退	chen xin tui 
中粮资本	zhong liang zi ben 
华软科技	hua ruan ke ji 
松芝股份	song zhi gu fen 
太安堂	tai an tang 
长高电新	zhang gao dian xin 
欧菲光	ou fei guang 
中原内配	zhong yuan nei pei 
二六三	er liu san 
晶澳科技	jing ao ke ji 
珠江啤酒	zhu jiang pi jiu 
海格通信	hai ge tong xin 
百川股份	bai chuan gu fen 
益生股份	yi sheng gu fen 
众应退	zhong ying tui 
双塔食品	shuang ta shi pin 
申通快递	shen tong kuai di 
三维化学	san wei hua xue 
宝莫股份	bao mo gu fen 
润邦股份	run bang gu fen 
金固股份	jin gu gu fen 
华斯股份	hua si gu fen 
常宝股份	chang bao gu fen 
恒基达鑫	heng ji da xin 
鼎龙文化	ding long wen hua 
通鼎互联	tong ding hu lian 
*ST科林	*ST ke lin 
浙江永强	zhe jiang yong qiang 
日发精机	ri fa jing ji 
山西证券	shan xi zheng quan 
西子洁能	xi zi jie neng 
浙江众成	zhe jiang zhong cheng 
恺英网络	kai ying wang luo 
天汽模	tian qi mo 
雅化集团	ya hua ji tuan 
山东墨龙	shan dong mo long 
新联电子	xin lian dian zi 
协鑫集成	xie xin ji cheng 
旷达科技	kuang da ke ji 
荣盛石化	rong sheng shi hua 
天山铝业	tian shan lv ye 
辉丰股份	hui feng gu fen 
科士达	ke shi da 
亚太科技	ya tai ke ji 
春兴精工	chun xing jing gong 
老板电器	lao ban dian qi 
凯美特气	kai mei te qi 
尚荣医疗	shang rong yi liao 
宝馨科技	bao xin ke ji 
ST步森	ST bu sen 
兄弟科技	xiong di ke ji 
司尔特	si er te 
海源复材	hai yuan fu cai 
南方精工	nan fang jing gong 
益盛药业	yi sheng yao ye 
洽洽食品	qia qia shi pin 
飞龙股份	fei long gu fen 
涪陵榨菜	fu ling zha cai 
雷柏科技	lei bai ke ji 
普天科技	pu tian ke ji 
天桥起重	tian qiao qi zhong 
露笑科技	lu xiao ke ji 
三七互娱	san qi hu yu 
海能达	hai neng da 
