words	word
劳动教养	laodongjiaoyang
转交	zhuanjiao
被告人	beigaoren
单位	danwei
民法通则	minfatongze
规定	guiding
条例	tiaoli
适用	shiyong
民事法律	minshifalv
标的	biaode
行为	xingwei
成立	chengli
表述	biaoshu
下列	xialie
婚龄	hunling
法定	fading
婚姻	hunyin
登记	dengji
形成	xingcheng
规章	guizhang
航行	hangxing
协调	xiediao
河流	heliu
保障	baozhang
设立	sheli
制定	zhiding
委员会	weiyuanhui
国际	guoji
讯问	xunwen
检察院	jianchayuan
嫌疑人	xianyiren
情形	qingxing
应当	yingdang
阶段	jieduan
仓库	cangku
货物	huowu
承运人	chengyunren
装货	zhuanghuo
卸货	xiehuo
进入	jinru
责任	zeren
予以	yuyi
该证据	gaizhengju
闺汀	guiting
使领馆	shilingguan
公证机关	gongzhengjiguan
认证	renzheng
当事人	dangshiren
手续	shouxu
证据	zhengju
履行	lvxing
听证	tingzheng
行政处罚	xingzhengchufa
程序	chengxu
内容	neirong
包括	baokuo
刊登	kandeng
报纸	baozhi
范围	fanwei
公布	gongbu
发行	faxing
全国	quanguo
灭失	mieshi
保全	baoquan
申请	shenqing
取得	qude
情况	qingkuang
可能	keneng
宪法	xianfa
特色	tese
错误	cuowu
说法	shuofa
社会主义	shehuizhuyi
完善	wanshan
体系	tixi
法律	falv
加强	jiaqiang
决定权	juedingquan
选项	xuanxiang
享有	xiangyou
属于	shuyu
要求	yaoqiu
体制	tizhi
做法	zuofa
改进	gaijin
符合	fuhe
全面	quanmian
关系人	guanxiren
利害	lihai
宣告	xuangao
撤销	chexiao
法院	fayuan
死亡	siwang
制度	zhidu
国体	guoti
政体	zhengti
领土	lingtu
选举	xuanju
形式	xingshi
结构	jiegou
地方	difang
行政许可	xingzhengxuke
准予	zhunyu
查阅	chayue
有权	youquan
公众	gongzhong
机关	jiguan
行政	xingzheng
机构编制	jigoubianzhi
直辖市	zhixiashi
自治区	zizhiqu
回避	huibi
合议庭	heyiting
书记员	shujiyuan
一审	yishen
秩序	zhixu
问题	wenti
是否	shifou
存在	cunzai
暂予	zanyu
未满	weiman
消失	xiaoshi
公共事务	gonggongshiwu
组织	zuzhi
依法	yifa
事业	shiye
开庭	kaiting
约定	yueding
进行	jinxing
伪造	weizao
票据	piaoju
使用	shiyong
明确化	mingquehua
准据法	zhunjufa
识别	shibie
规范	guifan
解释	jieshi
确定	queding
过程	guocheng
作为	zuowei
位阶	weijie
渊源	yuanyuan
效力	xiaoli
现行	xianxing
有机	youji
划分	huafen
原则	yuanze
阅卷	yuejuan
辩护律师	bianhulvshi
行使	xingshi
案件	anjian
陪审员	peishenyuan
审理案件	shenlianjian
参加	canjia
罢免	bamian
开庭审判	kaitingshenpan
刑事案件	xingshianjian
基层	jiceng
指导	zhidao
处理	chuli
需要	xuyao
不能	buneng
受理	shouli
不予	buyu
书面	shumian
告知	gaozhi
视为	shiwei
机构	jigou
伤害案	shanghaian
简易程序	jianyichengxu
犯罪事实	fanzuishishi
不负	bufu
法规	fagui
抵触	dichu
地方性	difangxing
第二审	diershen
辩护人	bianhuren
量刑	liangxing
上诉	shangsu
执行	zhixing
提出	tichu
债务	zhaiwu
文件	wenjian
对方	duifang
证明	zhengming
能力	nengli
提供	tigong
扶养	fuyang
涉外	shewai
司法	sifa
实践	shijian
关系	guanxi
国家	guojia
主张	zhuzhang
不得	bude
思维	siwei
普通法	putongfa
民法	minfa
归纳	guina
演绎	yanyi
法治	fazhi
根本保证	genbenbaozheng
党的领导	dangdelingdao
理念	linian
合同法	hetongfa
经济	jingji
发回重审	fahuizhongshen
原审	yuanshen
另行	lingxing
死刑	sixing
裁定	caiding
核准	hezhun
继续执行	jixuzhixing
签发	qianfa
确认	queren
院长	yuanchang
命令	mingling
辨认	bianren
案卷	anjuan
笔录	bilu
录像	luxiang
照片	zhaopian
获悉	huoxi
对象	duixiang
资料	ziliao
无法	wufa
没有	meiyou
欠税款	qianshuikuan
保险金	baoxianjin
给付	geifu
人寿保险	renshoubaoxian
赔偿	peichang
破产	pochan
公司	gongsi
秘书长	mishuchang
人员	renyuan
组成	zucheng
违反	weifan
决定	jueding
资产阶级	zichanjieji
民法典	minfadian
法人	faren
贯彻	guanche
保留	baoliu
有所	yousuo
实施	shishi
大量	daliang
小时	xiaoshi
作出	zuochu
接受	jieshou
禁止	jinzhi
手段	shouduan
作战	zuozhan
方法	fangfa
催告	cuigao
强制执行	qiangzhizhixing
限期	xianqi
拆除	chaichu
公海	gonghai
国籍	guoji
碰撞	pengzhuang
船舶	chuanbo
发生	fasheng
除权	chuquan
判决	panjue
公诉	gongsu
退回	tuihui
遇到	yudao
管辖权	guanxiaquan
异议	yiyi
公共利益	gonggongliyi
反倾销税	fanqingxiaoshui
征收	zhengshou
子女	zinv
父母	fumu
赡养	shanyang
抚养	fuyang
夫妻	fuqi
辩护	bianhu
意见	yijian
法律制裁	falvzhicai
追求	zhuiqiu
破坏	pohuai
表明	biaoming
价值	jiazhi
骗取	pianqu
退税	tuishui
发票	fapiao
盗窃	daoqie
用于	yongyu
行政复议	xingzhengfuyi
性质	xingzhi
熟悉	shuxi
业务	yewu
农村土地	nongcuntudi
承包方	chengbaofang
承包经营	chengbaojingying
经营权	jingyingquan
承包	chengbao
权证	quanzheng
转让	zhuanrang
才能	caineng
和解	hejie
达成	dacheng
协议	xieyi
意味着	yiweizhao
两者	liangzhe
住所地	zhusuodi
送达	songda
文书	wenshu
涉台	shetai
司法解释	sifajieshi
民事案件	minshianjian
代为	daiwei
委托	weituo
公共卫生	gonggongweisheng
保卫	baowei
村民	cunmin
法定代理	fadingdaili
法庭	fating
询问	xunwen
补充	buchong
不服	bufu
适用者	shiyongzhe
逻辑推理	luojituili
判断	panduan
余额	yue
净资产	jingzichan
累计	leiji
债券	zhaiquan
超过	chaoguo
执业	zhiye
律师资格	lvshizige
律师	lvshi
拘役	juyi
判处	panchu
军人	junren
同类产品	tongleichanpin
损害	sunhai
工人	gongren
产品	chanpin
规范性	guifanxing
规则	guize
基本权利	jibenquanli
政治权利	zhengzhiquanli
公民	gongmin
权利	quanli
深入	shenru
文化	wenhua
社会	shehui
报告	baogao
负责人	fuzeren
部门	bumen
专项	zhuanxiang
安全装置	anquanzhuangzhi
机动车辆	jidongcheliang
明知	mingzhi
驾驶	jiashi
单据	danju
卖方	maifang
交付	jiaofu
义务	yiwu
描述	miaoshu
特点	tedian
数罪并罚	shuzuibingfa
牵连	qianlian
实质	shizhi
实行	shixing
权利义务	quanliyiwu
参加者	canjiazhe
保护	baohu
国际法	guojifa
战争	zhanzheng
裁决	caijue
起诉	qisu
计算机程序	jisuanjichengxu
文学作品	wenxuezuopin
建账	jianzhang
财会人员	caihuirenyuan
确无	quewu
账务	zhangwu
税务机关	shuiwujiguan
经营规模	jingyingguimo
聘请	pinqing
纳税人	nashuiren
认可	renke
司法制度	sifazhidu
出发点	chufadian
执法	zhifa
说明	shuoming
休息权	xiuxiquan
全体	quanti
留置权	liuzhiquan
抵押权	diyaquan
优先权	youxianquan
抗诉	kangsu
审结	shenjie
破产法	pochanfa
债权	zhaiquan
企业	qiye
货币	huobi
兑换	duihuan
推定	tuiding
过错	guocuo
请问	qingwen
事务所	shiwusuo
合伙	hehuo
职业	zhiye
具有	juyou
居民	jumin
个别	gebie
主席	zhuxi
产生	chansheng
赔偿义务	peichangyiwu
补正	buzheng
申请材料	shenqingcailiao
请求	qingqiu
材料	cailiao
处罚金	chufajin
没收	meishou
财产	caichan
发射	fashe
目的	mude
公务	gongwu
政府部门	zhengfubumen
私人	siren
实体	shiti
承担	chengdan
应对	yingdui
商业	shangye
确立	queli
风格	fengge
办案	banan
代理人	dailiren
救济	jiuji
阻碍	zuai
工作人员	gongzuorenyuan
认为	renwei
损害赔偿	sunhaipeichang
所在地	suozaidi
人权	renquan
干涉	ganshe
专业知识	zhuanyezhishi
技能	jineng
专业	zhuanye
客户	kehu
专门	zhuanmen
止付	zhifu
挂失	guashi
公示	gongshi
提起	tiqi
多变	duobian
现实生活	xianshishenghuo
授权	shouquan
措施	cuoshi
人民	renmin
采购	caigou
促进	cujin
政府	zhengfu
执行权	zhixingquan
决策权	juecequan
说明书	shuomingshu
招股	zhaogu
股东大会	gudongdahui
用途	yongtu
变更	biangeng
批准	pizhun
资金	zijin
侵权行为	qinquanxingwei
改变	gaibian
利用	liyong
民事责任	minshizeren
签章	qianzhang
便民	bianmin
收效	shouxiao
申诉	shensu
预约	yuyue
立案	lian
查询	chaxun
被申请人	beishenqingren
条件	tiaojian
主体	zhuti
不会	buhui
法律案	falvan
计算	jisuan
自主性	zizhuxing
本质	benzhi
采取	caiqu
协助	xiezhu
职能	zhineng
被告	beigao
允许	yunxu
依法行政	yifaxingzheng
政务	zhengwu
刑罚	xingfa
预交	yujiao
诉讼费用	susongfeiyong
侦查	zhencha
会见	huijian
包销	baoxiao
全额	quane
分为	fenwei
注册商标	zhuceshangbiao
假冒	jiamao
处罚	chufa
商品	shangpin
国际私法	guojisifa
公约	gongyue
拘传	juchuan
时间	shijian
公法	gongfa
私法	sifa
社会化	shehuihua
倾向	qingxiang
意义	yiyi
出现	chuxian
租赁	zulin
双方	shuangfang
协商	xieshang
争议	zhengyi
使用权	shiyongquan
所有权	suoyouquan
不成	bucheng
解决	jiejue
土地	tudi
部曲	buqu
天宅	tianzhai
改嫁	gaijia
奴婢	nubi
费用	feiyong
转移	zhuanyi
维护	weihu
传统	chuantong
利益	liyi
有着	youzhao
联系	lianxi
诉讼法	susongfa
民事	minshi
公证员	gongzhengyuan
受到	shoudao
例外	liwai
土地管理法	tudiguanlifa
集体土地	jititudi
从事	congshi
依法办案	yifabanan
实事求是	shishiqiushi
证据规则	zhengjuguize
出庭	chuting
证人	zhengren
强制	qiangzhi
体现	tixian
构成	goucheng
信用证	xinyongzheng
撤消	chexiao
不可	buke
条款	tiaokuan
取消	quxiao
保证	baozheng
诉讼时效	susongshixiao
起算	qisuan
审计法	shenjifa
参赌	candu
赌博罪	dubozui
行为人	xingweiren
诱骗	youpian
