words	word
达标	dabiao
状态	zhuangtai
能够	nenggou
表示	biaoshi
尖锐湿疣	jianruishiyou
湿疣	shiyou
肛周	gangzhou
烧灼	shaozhuo
阴茎	yinjing
疗法	liaofa
激光	jiguang
适用	shiyong
治疗	zhiliao
建议	jianyi
防止	fangzhi
关键	guanjian
含化	hanhua
咽喉炎	yanhouyan
禁烟	jinyan
输液	shuye
复发	fufa
保养	baoyang
感冒	ganmao
腰骶	yaodi
胀痛	zhangtong
腹痛	futong
基本相同	jibenxiangtong
可有	keyou
表现	biaoxian
癫痫	dianxian
切除	qiechu
肿瘤	zhongliu
手术	shoushu
引发	yinfa
还有	huanyou
进行	jinxing
口腔科	kouqiangke
需要	xuyao
描述	miaoshu
情况	qingkuang
给予	geiyu
抗惊厥	kangjingjue
对症	duizheng
医院	yiyuan
烫洗	tangxi
避穿	bichuan
织品	zhipin
软膏	ruangao
湿疹	shizhen
患处	huanchu
外用	waiyong
肥皂	feizao
衣着	yizhao
热水	reshui
腰椎间盘	yaozhuijianpan
突出	tuchu
程度	chengdu
选择	xuanze
方法	fangfa
囊肿	nangzhong
排卵	pailuan
不会	buhui
卵巢	luanchao
考虑	kaolv
增长	zengchang
脑部	naobu
诱因	youyin
患者	huanzhe
疾病	jibing
刺激	ciji
注意	zhuyi
成为	chengwei
结肠	jiechang
瘘管	lvguan
免疫	mianyi
溃疡面	kuiyangmian
有益菌	youyijun
肠腔	changqiang
溃疡性	kuiyangxing
药制剂	yaozhiji
醋酸	cusuan
担心	danxin
要查	yaocha
性激素	xingjisu
超声	chaosheng
评价	pingjia
不用	buyong
月经不调	yuejingbudiao
女性	nvxing
妇科	fuke
方面	fangmian
失调	shidiao
月经	yuejing
内分泌	neifenmi
怀孕	huaiyun
可能	keneng
心理	xinli
陪陪	peipei
产后	chanhou
身心	shenxin
走走	zouzou
沟通	goutong
交流	jiaoliu
好转	haozhuan
相应	xiangying
出去	chuqu
看看	kankan
白血球	baixieqiu
血小板	xiexiaoban
副作用	fuzuoyong
水肿	shuizhong
恶心	exin
中药	zhongyao
症状	zhengzhuang
效果	xiaoguo
B超	Bchao
肝功	gangong
乙肝	yigan
没有	meiyou
正常人	zhengchangren
病理	bingli
损伤	sunshang
实质	shizhi
改变	gaibian
口服液	koufuye
恢复元气	huifuyuanqi
乳腺癌	ruxianai
病灶	bingzao
愈合	yuhe
伤口	shangkou
补液	buye
胃肠炎	weichangyan
应予	yingyu
轻者	qingzhe
酸碱	suanjian
重者	zhongzhe
电解质	dianjiezhi
口服	koufu
静脉	jingmai
机能	jineng
皮肤病	pifubing
病情	bingqing
朋友	pengyou
牛皮癣	niupixian
激素类	jisulei
偏差	piancha
治病	zhibing
用药	yongyao
陌生	mosheng
荷叶茶	heyecha
降血脂	jiangxiezhi
瘦身	shoushen
滋阴	ziyin
利尿	liniao
止血	zhixie
心血管	xinxieguan
减肥	jianfei
功效	gongxiao
保护	baohu
是否	shifou
决定	jueding
子宫腔	zigongqiang
体外受精	tiwaishoujing
输卵管	shuluanguan
技术	jishu
受孕	shouyun
卵子	luanzi
精子	jingzi
妊娠	renshen
相遇	xiangyu
二者	erzhe
偏曲	pianqu
鼻中隔	bizhongge
做手术	zuoshoushu
鼻腔	biqiang
禁忌	jinji
出血	chuxie
年龄	nianling
关系	guanxi
皮肤科	pifuke
接诊	jiezhen
专科	zhuanke
草莓	caomei
有点像	youdianxiang
预约	yuyue
带上	daishang
图片	tupian
思维	siwei
面诊	mianzhen
精神科	jingshenke
精神分裂症	jingshenfenliezheng
量表	liangbiao
检查和	jianchahe
精神病	jingshenbing
痊愈	quanyu
确诊	quezhen
癌变	aibian
药物	yaowu
无法	wufa
办法	banfa
控制	kongzhi
肝功能	gangongneng
疏风	shufeng
润燥	runzao
养血	yangxie
为主	weizhu
银黄	yinhuang
蔬菜水果	shucaishuiguo
喝水	heshui
颗粒	keli
病毒	bingdu
乳头	rutou
清除	qingchu
意识	yishi
应该	yinggai
葡萄球菌	putaoqiujun
引起	yinqi
毛囊炎	maonangyan
毛囊	maonang
累及	leiji
金黄色	jinhuangse
表皮	biaopi
炎症	yanzheng
细菌	xijun
宫颈	gongjing
内口	neikou
矫治	jiaozhi
得以	deyi
形态	xingtai
功能	gongneng
恢复	huifu
泌尿	miniao
阳痿	yangwei
勃起	boqi
前列腺	qianliexian
性生活	xingshenghuo
感染	ganran
巩膜	gongmo
外露	wailu
下移	xiayi
患儿	huaner
眼球	yanqiu
出现	chuxian
恶变	ebian
保守	baoshou
倾向	qingxiang
重视	zhongshi
处理	chuli
胳膊	gebo
血常规	xiechanggui
微量元素	weiliangyuansu
血糖	xietang
降压	jiangya
应用	yingyong
用点	yongdian
发生	fasheng
有没有	youmeiyou
现象	xianxiang
去除	quchu
在于	zaiyu
