words	word
工作	gongzuo
关于	guanyu
国务院	guowuyuan
发展	fazhan
国家	guojia
部门	bumen
应当	yingdang
建设	jianshe
加强	jiaqiang
改革	gaige
有关	youguan
管理	guanli
企业	qiye
通知	tongzhi
国务院办公厅	guowuyuanbangongting
组织	zuzhi
服务	fuwu
规定	guiding
推进	tuijin
实施	shishi
政府	zhengfu
单位	danwei
制度	zhidu
创新	chuangxin
负责	fuze
完善	wanshan
机构	jigou
相关	xiangguan
开展	kaizhan
职责	zhize
地方	difang
信息	xinxi
社会	shehui
情况	qingkuang
政策	zhengce
机制	jizhi
支持	zhichi
按照	anzhao
人民政府	renminzhengfu
建立	jianli
问题	wenti
意见	yijian
制定	zhiding
地区	diqu
行政	xingzheng
推动	tuidong
安全	anquan
监管	jianguan
体系	tixi
主任	zhuren
落实	luoshi
机关	jiguan
批复	pifu
进行	jinxing
依法	yifa
保障	baozhang
坚持	jianchi
责任	zeren
中国	zhongguo
领导	lingdao
指导	zhidao
监督	jiandu
促进	cujin
生产	shengchan
重大	zhongda
委员会	weiyuanhui
要求	yaoqiu
标准	biaozhun
条例	tiaoli
健康	jiankang
中央	zhongyang
加快	jiakuai
规划	guihua
提升	tisheng
党委	dangwei
印发	yinfa
教育	jiaoyu
办公室	bangongshi
事项	shixiang
重点	zhongdian
农业	nongye
产业	chanye
提高	tigao
项目	xiangmu
分工负责	fengongfuze
保护	baohu
经济	jingji
全国	quanguo
同意	tongyi
全面	quanmian
使用	shiyong
决定	jueding
能力	nengli
投资	touzi
进一步	jinyibu
审批	shenpi
公开	gongkai
干部	ganbu
人员	renyuan
强化	qianghua
协调	xiediao
及时	jishi
可以	keyi
调整	diaozheng
技术	jishu
财政部	caizhengbu
综合	zonghe
研究	yanjiu
领域	lingyu
法规	fagui
方式	fangshi
以上	yishang
牵头	qiantou
规范	guifan
医院	yiyuan
市场	shichang
提供	tigong
书记	shuji
质量	zhiliang
农村	nongcun
应急	yingji
鼓励	guli
基本	jiben
以及	yiji
工业	gongye
报告	baogao
信息化	xinxihua
有限公司	youxiangongsi
做好	zuohao
经营	jingying
国际	guoji
资源	ziyuan
党支部	dangzhibu
风险	fengxian
重要	zhongyao
城市	chengshi
执行	zhixing
合作	hezuo
需要	xuyao
优化	youhua
以下	yixia
卫生	weisheng
方案	fangan
生态	shengtai
统筹	tongchou
参与	canyu
不得	bude
党员	dangyuan
环境	huanjing
实现	shixian
承担	chengdan
批准	pizhun
监督管理	jianduguanli
主要	zhuyao
给予	geiyu
检查	jiancha
总局	zongju
健全	jianquan
联席会议	lianxihuiyi
党组织	dangzuzhi
资金	zijin
考核	kaohe
深化	shenhua
水平	shuiping
设立	sheli
试点	shidian
科技	keji
作用	zuoyong
引导	yindao
城乡	chengxiang
活动	huodong
政务	zhengwu
平台	pingtai
各级	geji
形成	xingcheng
行业	xingye
评价	pingjia
措施	cuoshi
范围	fanwei
提出	tichu
统一	tongyi
党中央	dangzhongyang
人民	renmin
持续	chixu
通过	tongguo
住房	zhufang
人力资源	renliziyuan
条件	tiaojian
主管部门	zhuguanbumen
文化	wenhua
商务部	shangwubu
及其	jiqi
方面	fangmian
县级	xianji
评估	pinggu
加大	jiada
总体规划	zongtiguihua
行为	xingwei
处理	chuli
决策	juece
登记	dengji
监测	jiance
实行	shixing
培训	peixun
产品	chanpin
法律	falv
领导小组	lingdaoxiaozu
党组	dangzu
利用	liyong
基础	jichu
治理	zhili
就业	jiuye
科学	kexue
数据	shuju
区域	quyu
药品	yaopin
力度	lidu
办法	banfa
有效	youxiao
人才	rencai
任务	renwu
积极	jiji
执法	zhifa
确保	quebao
发挥	fahui
创业	chuangye
办理	banli
个人	geren
基金	jijin
主任医师	zhurenyishi
群众	qunzhong
成员	chengyuan
主体	zhuti
内容	neirong
审查	shencha
履行	lvxing
交通运输	jiaotongyunshu
建立健全	jianlijianquan
转发	zhuanfa
确定	queding
省级	shengji
生态环境	shengtaihuanjing
业务	yewu
开放	kaifang
共享	gongxiang
明确	mingque
处分	chufen
公司	gongsi
集团	jituan
系统	xitong
作为	zuowei
中心	zhongxin
扶贫开发	fupinkaifa
维护	weihu
协同	xietong
政治	zhengzhi
申请	shenqing
工程	gongcheng
扶贫	fupin
调查	diaocha
试验区	shiyanqu
认真	renzhen
党内	dangnei
市场监管	shichangjianguan
探索	tansuo
处置	chuzhi
医疗	yiliao
予以	yuyi
增强	zengqiang
备案	beian
部署	bushu
信用	xinyong
解决	jiejue
知识产权	zhishichanquan
预算	yusuan
各类	gelei
设施	sheshi
符合	fuhe
互联网	hulianwang
计划	jihua
建设部	jianshebu
纳入	naru
贯彻落实	guancheluoshi
构建	goujian
中华人民共和国	zhonghuarenmingongheguo
程序	chengxu
安排	anpai
下列	xialie
党委书记	dangweishuji
严格	yange
基层	jiceng
统计	tongji
财政	caizheng
生活	shenghuo
社会主义	shehuizhuyi
贸易	maoyi
专业	zhuanye
医疗器械	yiliaoqixie
法律法规	falvfagui
公布	gongbu
作出	zuochu
编制	bianzhi
直辖市	zhixiashi
社区	shequ
乡村	xiangcun
依照	yizhao
体制	tizhi
结合	jiehe
融合	ronghe
法治	fazhi
原则	yuanze
自治区	zizhiqu
目标	mubiao
粮食	liangshi
农药	nongyao
社会保障部	shehuibaozhangbu
环境保护	huanjingbaohu
金融	jinrong
基础设施	jichusheshi
融资	rongzi
升级	shengji
开发	kaifa
违法	weifa
结果	jieguo
如下	ruxia
直接	zhijie
具体	juti
合理	heli
食品安全	shipinanquan
公共服务	gonggongfuwu
宣传	xuanchuan
推广	tuiguang
战略	zhanlve
应用	yingyong
专项	zhuanxiang
扩大	kuoda
网络	wangluo
实际	shiji
能源	nengyuan
年度	niandu
支出	zhichu
