words	word
朝著	zhaozhu
逆境	nijing
勇于	yongyu
前进	qianjin
遇到	yudao
面对	miandui
才能	caineng
有失	youshi
看待	kandai
无法	wufa
全家	quanjia
陷入	xianru
过著	guozhu
必需	bixu
富有	fuyou
改变	gaibian
发生	fasheng
可能	keneng
音乐家	yinlejia
才子	caizi
风雨	fengyu
耳朵	erduo
音乐	yinle
命运	mingyun
不到	budao
成为	chengwei
挫折	cuozhe
成就	chengjiu
扑鼻	pubi
克服	kefu
人生	rensheng
成长	chengchang
说书人	shuoshuren
声音	shengyin
养家	yangjia
主角	zhujiao
赚钱	zhuanqian
不见	bujian
高压电	gaoyadian
残废	canfei
毅力	yili
受挫	shoucuo
活得	huode
无情	wuqing
心灵	xinling
坚持	jianchi
时候	shihou
失败	shibai
常会	changhui
蕴藏	yuncang
碰到	pengdao
关卡	guanqia
拥抱	yongbao
陷阱	xianjing
梦想	mengxiang
迎接	yingjie
双手	shuangshou
道路	daolu
经历	jingli
过程	guocheng
奋斗	fendou
次数	cishu
收获	shouhuo
发明	faming
没有	meiyou
先苦后甘	xiankuhougan
顺境	shunjing
旅程	lvcheng
追寻	zhuixun
毕生	bisheng
踏上	tashang
滋味	ziwei
禁不起	jinbuqi
感受	ganshou
神木	shenmu
被围	beiwei
锻带	duandai
西装	xizhuang
名牌	mingpai
煎熬	jianao
本钱	benqian
企业家	qiyejia
公认	gongren
透透气	toutouqi
在意	zaiyi
发觉	fajue
内心	neixin
想要	xiangyao
生气	shengqi
打开	dakai
不用	buyong
直到	zhidao
出去	chuqu
生病	shengbing
地方	difang
遭遇	zaoyu
厄运	eyun
奇迹	qiji
出现	chuxian
就算	jiusuan
不会	buhui
人祸	renhuo
磨难	monan
天灾	tianzai
强者	qiangzhe
大风	dafeng
坐在	zuozai
接受	jieshou
事情	shiqing
国父	guofu
期许	qixu
挫败	cuobai
信念	xinnian
改进	gaijin
走出	zouchu
学习	xuexi
掉入	diaoru
难过	nanguo
失望	shiwang
走过	zouguo
处在	chuzai
便是	bianshi
等待	dengdai
人们	renmen
创举	chuangju
灯泡	dengpao
照亮	zhaoliang
全世界	quanshijie
加油	jiayou
打败	dabai
办法	banfa
大家	dajia
屹立不摇	yilibuyao
小草	xiaocao
倒下	daoxia
撑过	chengguo
面临	mianlin
得到	dedao
往上爬	wangshangpa
疑问	yiwen
超世	chaoshi
有著	youzhu
意志力	yizhili
大事	dashi
小搏	xiaobo
坚忍	jianren
成果	chengguo
放弃	fangqi
相信	xiangxin
街道	jiedao
来到	laidao
看见	kanjian
世界	shijie
说明	shuoming
转捩点	zhuanliedian
老师	laoshi
人物	renwu
愿意	yuanyi
并不认为	bingburenwei
经验	jingyan
放晴	fangqing
战火	zhanhuo
被窝	beiwo
笑容	xiaorong
天空	tiankong
露出	luchu
停止	tingzhi
残叶	canye
露脸	lulian
强风	qiangfeng
磨炼	molian
污垢	wugou
鱼儿	yuer
雨水	yushui
总会	zonghui
打击	daji
初芽	chuya
豪雨	haoyu
降大任	jiangdaren
暴风	baofeng
枝干	zhigan
天将	tianjiang
古人	guren
当作	dangzuo
精神	jingshen
温室	wenshi
灭国	mieguo
逗弄	dounong
爱妾	aiqie
愚弄	yunong
摧残	cuican
大雨	dayu
花朵	huaduo
不惜	buxi
心态	xintai
属于	shuyu
人生道路	renshengdaolu
斩草	zhancao
生命力	shengmingli
希望	xiwang
中向	zhongxiang
伟人	weiren
富家	fujia
身段	shenduan
千金	qianjin
信仰	xinyang
走上	zoushang
放下	fangxia
理想	lixiang
父母	fumu
听障	tingzhang
不辍	buchuo
乐曲	lequ
性情	xingqing
留下来	liuxialai
变得	biande
作出	zuochu
堕落	duoluo
出来	chulai
新气象	xinqixiang
打得	dade
不能	buneng
开始	kaishi
图画	tuhua
景象	jingxiang
知道	zhidao
读到	dudao
传记	chuanji
改观	gaiguan
腐刑	fuxing
宫刑	gongxing
袒护	tanhu
史记	shiji
曲子	quzi
听不见	tingbujian
出名	chuming
动人	dongren
名人	mingren
自寻	zixun
短路	duanlu
小组长	xiaozuchang
念书	nianshu
理会	lihui
负责	fuze
学生	xuesheng
完成	wancheng
铸造成	zhuzaocheng
钢强	gangqiang
学者	xuezhe
被压	beiya
救护车	jiuhuche
跌倒	diedao
发现	faxian
骨头	gutou
对待	duidai
桌子	zhuozi
爸爸	baba
意识	yishi
不行	buxing
石头	shitou
冲涮	chongshuan
好比	haobi
瀑布	pubu
只能靠	zhinengkao
狂风	kuangfeng
倒塌	daota
气象	qixiang
树木	shumu
政绩	zhengji
专心	zhuanxin
开心	kaixin
思考	sikao
提起	tiqi
选择	xuanze
问题	wenti
效仿	xiaofang
样子	yangzi
应该	yinggai
再犯	zaifan
检讨	jiantao
过错	guocuo
逃避	taobi
提醒	tixing
告戒	gaojie
犯下	fanxia
灾难	zainan
错误	cuowu
防止	fangzhi
避免	bimian
靠著	kaozhu
打湿	dashi
野草	yecao
风吹	fengchui
小事	xiaoshi
圣人	shengren
悲剧	beiju
创造	chuangzao
算是	suanshi
只能	zhineng
生长	shengchang
坚强	jianqiang
习惯	xiguan
认为	renwei
带入	dairu
国小	guoxiao
小团体	xiaotuanti
女生	nvsheng
讨厌	taoyan
行列	xinglie
记得	jide
加入	jiaru
觉得	juede
拦腰	lanyao
折断	zheduan
轰炸	hongzha
树枝	shuzhi
观察	guancha
是否	shifou
蜿蜒	wanyan
停顿	tingdun
睡觉	shuijue
陪著	peizhu
不著	buzhu
恶梦	emeng
小学	xiaoxue
考卷	kaojuan
拿到	nadao
害怕	haipa
回家	huijia
记住	jizhu
朋友	pengyou
认识	renshi
事所	shisuo
起来	qilai
愈挫	yucuo
出发	chufa
但愿	danyuan
体会	tihui
再有	zaiyou
天气	tianqi
恢复	huifu
情况	qingkuang
太烂	tailan
小时候	xiaoshihou
不知	buzhi
没差	meicha
一堂课	yitangke
退缩	tuisuo
例如	liru
无限	wuxian
拥有	yongyou
赢家	yingjia
低能儿	dinenger
了不起	lebuqi
所有人	suoyouren
能够	nenggou
探起	tanqi
迎著	yingzhu
飞舞	feiwu
小鸟	xiaoniao
散步	sanbu
伸展	shenzhan
跳跃	tiaoyue
重生	zhongsheng
洗去	xiqu
灰尘	huichen
大地	dadi
动力	dongli
阶段	jieduan
水手	shuishou
造就	zaojiu
困境	kunjing
大学	daxue
迈向	maixiang
前途	qiantu
光明	guangming
挡不住	dangbuzhu
大树	dashu
万物	wanwu
时刻	shike
显得	xiande
职棒	zhibang
助益	zhuyi
球赛	qiusai
拿下	naxia
负面	fumian
机会	jihui
能力	nengli
滂沱大雨	pangtuodayu
看著	kanzhu
雨势	yushi
鸟语花香	niaoyuhuaxiang
即逝	jishi
心血	xinxie
山间	shanjian
打下	daxia
站稳脚步	zhanwenjiaobu
心胸	xinxiong
凡事	fanshi
绝望	juewang
超越	chaoyue
决心	juexin
名留青史	mingliuqingshi
激得	jide
监牢	jianlao
浪花	langhua
史学家	shixuejia
赞赏	zanshang
编写	bianxie
史书	shishu
冷血	lengxie
顺逆	shunni
大火	dahuo
实验室	shiyanshi
事物	shiwu
感情	ganqing
事实	shishi
发表	fabiao
角度	jiaodu
更让人	gengrangren
坏事	huaishi
秘密	mimi
找到	zhaodao
变回	bianhui
受到	shoudao
结束	jieshu
报导	baodao
新闻	xinwen
看到	kandao
代价	daijia
付出	fuchu
强调	qiangdiao
指纹	zhiwen
冒出	maochu
窗户	chuanghu
可爱	keai
老鼠	laoshu
变成	biancheng
同学	tongxue
犯错	fancuo
玩游戏	wanyouxi
得奖	dejiang
责骂	zema
鼓掌	guzhang
忘掉	wangdiao
功课	gongke
经典台词	jingdiantaici
学长	xuechang
坐位	zuowei
靠墙	kaoqiang
精辟	jingpi
誓言	shiyan
论点	lundian
话语	huayu
布告栏	bugaolan
下课	xiake
放学	fangxue
教室	jiaoshi
喜欢	xihuan
时间	shijian
贴著	tiezhu
奖状	jiangzhuang
文章	wenzhang
学校	xuexiao
公布	gongbu
将球	jiangqiu
彷佛	pangfo
棒球	bangqiu
扫把	saoba
用纸	yongzhi
玩玩	wanwan
男生	nansheng
打到	dadao
小心	xiaoxin
照映	zhaoying
直笛	zhidi
练到	liandao
体操比赛	ticaobisai
天使	tianshi
口号	kouhao
留在	liuzai
舞蹈	wudao
忘不了	wangbule
渡过	duguo
笑声	xiaosheng
回忆	huiyi
忘记	wangji
感觉	ganjue
蒸饭箱	zhengfanxiang
抢著	qiangzhu
好料	haoliao
弹开	dankai
飞车	feiche
变出	bianchu
白烟	baiyan
俱全	juquan
蒸气	zhengqi
蒸饭	zhengfan
饿著	ezhu
担心	danxin
垃圾桶	lajitong
黑板	heiban
角落	jiaoluo
垃圾	laji
